Symbol,Yahoo_Ticker,Big Sectors,Industry
SINCLAIR,SINCLAIR.NS,Consumer Discretionary,Leisure Services
SINDHUTRAD,SINDHUTRAD.NS,Industrials,Industrial Products
SINTERCOM,SINTERCOM.NS,Consumer Discretionary,Automobile & Auto Components
SIRCA,SIRCA.NS,Commodities,Fertilizers & Agrochemicals
SIS,SIS.NS,Industrials,Industrial Manufacturing
SITINET,SITINET.NS,Telecommunication,Telecom - Equipment & Accessories
SIYSIL,SIYSIL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SJS,SJS.NS,Consumer Discretionary,Automobile & Auto Components
SJVN,SJVN.NS,Utilities,Utilities
SKFINDIA,SKFINDIA.NS,Industrials,Industrial Manufacturing
SKIPPER,SKIPPER.NS,Industrials,Construction
SKMEGGPROD,SKMEGGPROD.NS,Fast Moving consumer goods,Food Products
SKYGOLD,SKYGOLD.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SMARTLINK,SMARTLINK.NS,Information Technology,IT - Hardware
SMCGLOBAL,SMCGLOBAL.NS,Services,Capital Markets
SMLISUZU,SMLISUZU.NS,Consumer Discretionary,Automobile & Auto Components
SMLT,SMLT.NS,Industrials,Industrial Manufacturing
SMSLIFE,SMSLIFE.NS,Healthcare,Pharmaceuticals & Biotechnology
SMSPHARMA,SMSPHARMA.NS,Healthcare,Pharmaceuticals & Biotechnology
SNOWMAN,SNOWMAN.NS,Industrials,Industrial Products
SOBHA,SOBHA.NS,Consumer Discretionary,Realty
SOFTTECH,SOFTTECH.NS,Information Technology,IT - Software
SOLARA,SOLARA.NS,Healthcare,Pharmaceuticals & Biotechnology
SOLARINDS,SOLARINDS.NS,Commodities,Fertilizers & Agrochemicals
SOMANYCERA,SOMANYCERA.NS,Industrials,Construction
SOMATEX,SOMATEX.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SOMICONVEY,SOMICONVEY.NS,Industrials,Industrial Manufacturing
SONACOMS,SONACOMS.NS,Consumer Discretionary,Automobile & Auto Components
SONAMLTD,SONAMLTD.NS,Consumer Discretionary,Consumer Durables
SONATSOFTW,SONATSOFTW.NS,Information Technology,IT - Services
SOTL,SOTL.NS,Commodities,Fertilizers & Agrochemicals
SOUTHBANK,SOUTHBANK.NS,Services,Banks - Regional
SOUTHWEST,SOUTHWEST.NS,Energy,Oil
SPAL,SPAL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SPANDANA,SPANDANA.NS,Services,Credit Services
SPARC,SPARC.NS,Healthcare,Pharmaceuticals & Biotechnology
SPCENET,SPCENET.NS,Services,Capital Markets
SPECIALITY,SPECIALITY.NS,Consumer Discretionary,Consumer Services
SPECTRUM,SPECTRUM.NS,Industrials,Electrical Equipment
SPENCERS,SPENCERS.NS,Consumer Discretionary,Retailing
SPIC,SPIC.NS,Commodities,Fertilizers & Agrochemicals
SPLIL,SPLIL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SPLPETRO,SPLPETRO.NS,Commodities,Fertilizers & Agrochemicals
SPMLINFRA,SPMLINFRA.NS,Industrials,Construction
SPORTKING,SPORTKING.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SRD,SRD.NS,Commodities,Fertilizers & Agrochemicals
SREEL,SREEL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SRF,SRF.NS,Industrials,Industrial Products
SRGHFL,SRGHFL.NS,Services,Mortgage Finance
SRHHYPOLTD,SRHHYPOLTD.NS,Commodities,Chemicals & Petrochemicals
SRM,SRM.NS,Industrials,Construction
SRPL,SRPL.NS,Fast Moving consumer goods,Farm Products
SSDL,SSDL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
SSWL,SSWL.NS,Consumer Discretionary,Automobile & Auto Components
STALLION,STALLION.NS,Commodities,Fertilizers & Agrochemicals
STANLEY,STANLEY.NS,Consumer Discretionary,Consumer Durables
