Company Name,Symbol,SERIES
Atul Limited,ATUL,EQ
Atul Auto Limited,ATULAUTO,EQ
AU Small Finance Bank Limited,AUBANK,EQ
Auri Grow India Limited,AURIGROW,EQ
Aurionpro Solutions Limited,AURIONPRO,EQ
Aurobindo Pharma Limited,AUROPHARMA,EQ
Aurum PropTech Limited,AURUM,EQ
Ausom Enterprise Limited,AUSOMENT,EQ
Automotive Axles Limited,AUTOAXLES,EQ
Autoline Industries Limited,AUTOIND,EQ
Avadh Sugar & Energy Limited,AVADHSUGAR,BE
Available Finance Limited,AVAILFC,EQ
Avalon Technologies Limited,AVALON,EQ
Avantel Limited,AVANTEL,EQ
Avanti Feeds Limited,AVANTIFEED,EQ
AVG Logistics Limited,AVG,EQ
Aditya Vision Limited,AVL,EQ
Avonmore Capital & Management Services Limited,AVONMORE,EQ
AVRO INDIA LIMITED,AVROIND,EQ
AVT Natural Products Limited,AVTNPL,EQ
Awfis Space Solutions Limited,AWFIS,EQ
Antony Waste Handling Cell Limited,AWHCL,EQ
AWL Agri Business Limited,AWL,EQ
Axis Bank Limited,AXISBANK,EQ
AXISCADES Technologies Limited,AXISCADES,EQ
Axita Cotton Limited,AXITA,EQ
Aye Finance Limited,AYE,EQ
AYM Syntex Limited,AYMSYNTEX,EQ
Azad Engineering Limited,AZAD,EQ
Bafna Pharmaceuticals Limited,BAFNAPH,BE
B.A.G Films and Media Limited,BAGFILMS,EQ
Baid Finserv Limited,BAIDFIN,EQ
Bajaj Auto Limited,BAJAJ-AUTO,EQ
Bajaj Consumer Care Limited,BAJAJCON,EQ
Bajaj Electricals Limited,BAJAJELEC,EQ
Bajaj Finserv Limited,BAJAJFINSV,EQ
Bajaj Healthcare Limited,BAJAJHCARE,EQ
Bajaj Housing Finance Limited,BAJAJHFL,EQ
Bajaj Hindusthan Sugar Limited,BAJAJHIND,EQ
Bajaj Holdings & Investment Limited,BAJAJHLDNG,EQ
Indef Manufacturing Limited,BAJAJINDEF,EQ
Bajaj Steel Industries Limited,BAJAJST,EQ
Bajel Projects Limited,BAJEL,EQ
Bajaj Finance Limited,BAJFINANCE,EQ
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,EQ
Balaji Telefilms Limited,BALAJITELE,EQ
Balaji Amines Limited,BALAMINES,EQ
BALAXI PHARMACEUTICALS LIMITED,BALAXI,BE
Balkrishna Paper Mills Limited,BALKRISHNA,EQ
Balkrishna Industries Limited,BALKRISIND,EQ
Balmer Lawrie & Company Limited,BALMLAWRIE,EQ
